date,population
25-09-2014,4007.820068
26-09-2014,4053.719971
29-09-2014,4047.179932
30-09-2014,4049.449951
01-10-2014,3984.73999
02-10-2014,3985.870117
03-10-2014,4027.310059
06-10-2014,4016.27002
07-10-2014,3958.590088
08-10-2014,4041.120117
09-10-2014,3969.320068
10-10-2014,3870.860107
13-10-2014,3808
14-10-2014,3810.449951
15-10-2014,3785.969971
16-10-2014,3765.280029
17-10-2014,3815.469971
20-10-2014,3870.080078
21-10-2014,3971.389893
22-10-2014,3949.590088
23-10-2014,4012.27002
24-10-2014,4042.02002
27-10-2014,4046.02002
28-10-2014,4106.629883
29-10-2014,4090.550049
30-10-2014,4100.640137
31-10-2014,4158.209961
03-11-2014,4169.279785
04-11-2014,4156.22998
05-11-2014,4153.27002
06-11-2014,4164.080078
07-11-2014,4160.5
10-11-2014,4175.950195
11-11-2014,4187.160156
12-11-2014,4195.399902
13-11-2014,4213.47998
14-11-2014,4224.990234
17-11-2014,4213.790039
18-11-2014,4242.189941
19-11-2014,4222.660156
20-11-2014,4242.089844
21-11-2014,4251.319824
24-11-2014,4284.319824
25-11-2014,4288.22998
26-11-2014,4317.990234
28-11-2014,4337.790039
01-12-2014,4287.810059
02-12-2014,4305.959961
03-12-2014,4312.930176
04-12-2014,4311.930176
05-12-2014,4311.569824
08-12-2014,4278.339844
09-12-2014,4294.669922
10-12-2014,4224.870117
11-12-2014,4246.47998
12-12-2014,4199.279785
15-12-2014,4157.410156
16-12-2014,4089.600098
17-12-2014,4165.100098
18-12-2014,4267.77002
19-12-2014,4281.779785
22-12-2014,4293.669922
23-12-2014,4279.299805
24-12-2014,4283.100098
26-12-2014,4314.089844
29-12-2014,4312.640137
30-12-2014,4282.350098
31-12-2014,4236.279785
02-01-2015,4230.240234
05-01-2015,4160.959961
06-01-2015,4110.830078
07-01-2015,4160
08-01-2015,4240.549805
09-01-2015,4213.279785
12-01-2015,4169.970215
13-01-2015,4166.200195
14-01-2015,4145.839844
15-01-2015,4089.649902
16-01-2015,4142.140137
20-01-2015,4171.209961
21-01-2015,4192.089844
22-01-2015,4270.359863
23-01-2015,4278.140137
26-01-2015,4275.720215
27-01-2015,4165.5
28-01-2015,4140.379883
29-01-2015,4181.350098
30-01-2015,4148.430176
02-02-2015,4188.589844
03-02-2015,4229.149902
04-02-2015,4221.200195
05-02-2015,4256.180176
06-02-2015,4228.680176
09-02-2015,4216.089844
10-02-2015,4281.160156
11-02-2015,4297.279785
12-02-2015,4347.970215
13-02-2015,4384.029785
17-02-2015,4385.339844
18-02-2015,4390.910156
19-02-2015,4411.859863
20-02-2015,4443.049805
23-02-2015,4449.490234
24-02-2015,4451.029785
25-02-2015,4440.589844
26-02-2015,4462.27002
27-02-2015,4440.669922
02-03-2015,4483.049805
03-03-2015,4458.779785
04-03-2015,4445.359863
05-03-2015,4452.060059
06-03-2015,4399.22998
09-03-2015,4412.990234
10-03-2015,4329.080078
11-03-2015,4305.379883
12-03-2015,4336.22998
13-03-2015,4314.899902
16-03-2015,4370.470215
17-03-2015,4375.629883
18-03-2015,4422.5
19-03-2015,4426.819824
20-03-2015,4458.540039
23-03-2015,4445.540039
24-03-2015,4430.990234
25-03-2015,4329.290039
26-03-2015,4315.259766
27-03-2015,4332.859863
30-03-2015,4382.819824
31-03-2015,4333.689941
01-04-2015,4311.259766
02-04-2015,4316.009766
06-04-2015,4350.97998
07-04-2015,4344.080078
08-04-2015,4375.959961
09-04-2015,4403.950195
10-04-2015,4422.02002
13-04-2015,4409.209961
14-04-2015,4397.640137
15-04-2015,4424.529785
